sample_id,seq_len,ppl_static,time_static,ppl_dynamic,time_dynamic,analysis_overhead_ms
0,417,12.593781054375055,1130.8917999267578,12.520205133467638,916.4292812347412,713.7837409973145
1,382,9.962500805803561,199.10264015197754,10.060267451958905,648.9372253417969,458.51874351501465
2,311,8.29152886548122,169.54946517944336,8.29152886548122,561.0589981079102,376.2049674987793
3,319,15.827022278874091,206.24876022338867,15.888967492629165,564.39208984375,382.5030326843262
4,334,8.521378512540508,199.50222969055176,8.504751437796486,611.4935874938965,427.2449016571045
5,330,10.730035606033903,178.99703979492188,10.751013186076355,580.3952217102051,414.264440536499
6,355,14.781248363830914,177.55722999572754,14.81014620089916,671.3800430297852,469.2220687866211
7,425,12.993550578338562,198.68993759155273,12.993550578338562,824.476957321167,609.809398651123
8,491,12.692555303381242,249.3143081665039,12.692555303381242,927.8066158294678,708.226203918457
9,412,14.354485905365031,196.99859619140625,14.467069533669397,895.6313133239746,566.7304992675781
